id,busqueda_id,palabra_clave_id
2,24967ed6-0f05-4a0b-be64-6cfcfe22fbe8,10
3,24967ed6-0f05-4a0b-be64-6cfcfe22fbe8,4
4,5f786992-f5a6-49cd-9626-05c1f4919780,8
5,5f786992-f5a6-49cd-9626-05c1f4919780,12
6,5f786992-f5a6-49cd-9626-05c1f4919780,10
7,699db7aa-b44a-40e8-b002-fd1a229242a5,8
8,699db7aa-b44a-40e8-b002-fd1a229242a5,10
9,f9a26fe8-35c6-4c0f-9358-883b43c7baed,4
10,f9a26fe8-35c6-4c0f-9358-883b43c7baed,8
11,f9a26fe8-35c6-4c0f-9358-883b43c7baed,6
16,1fa8e11e-d0cf-48a2-9551-0a4bc4c16b90,13
17,1fa8e11e-d0cf-48a2-9551-0a4bc4c16b90,14
