id,name,content_type_id,codename
241,Can add log entry,61,add_logentry
242,Can change log entry,61,change_logentry
243,Can delete log entry,61,delete_logentry
244,Can view log entry,61,view_logentry
245,Can add permission,62,add_permission
246,Can change permission,62,change_permission
247,Can delete permission,62,delete_permission
248,Can view permission,62,view_permission
249,Can add group,63,add_group
250,Can change group,63,change_group
251,Can delete group,63,delete_group
252,Can view group,63,view_group
253,Can add user,64,add_user
254,Can change user,64,change_user
255,Can delete user,64,delete_user
256,Can view user,64,view_user
257,Can add content type,65,add_contenttype
258,Can change content type,65,change_contenttype
259,Can delete content type,65,delete_contenttype
260,Can view content type,65,view_contenttype
261,Can add session,66,add_session
262,Can change session,66,change_session
263,Can delete session,66,delete_session
264,Can view session,66,view_session
265,Can add Inmobiliaria,67,add_inmobiliaria
266,Can change Inmobiliaria,67,change_inmobiliaria
267,Can delete Inmobiliaria,67,delete_inmobiliaria
268,Can view Inmobiliaria,67,view_inmobiliaria
269,Can add Usuario,68,add_usuario
270,Can change Usuario,68,change_usuario
271,Can delete Usuario,68,delete_usuario
272,Can view Usuario,68,view_usuario
273,Can add Plataforma,69,add_plataforma
274,Can change Plataforma,69,change_plataforma
275,Can delete Plataforma,69,delete_plataforma
276,Can view Plataforma,69,view_plataforma
277,Can add Búsqueda,70,add_busqueda
278,Can change Búsqueda,70,change_busqueda
279,Can delete Búsqueda,70,delete_busqueda
280,Can view Búsqueda,70,view_busqueda
281,Can add Palabra Clave,71,add_palabraclave
282,Can change Palabra Clave,71,change_palabraclave
283,Can delete Palabra Clave,71,delete_palabraclave
284,Can view Palabra Clave,71,view_palabraclave
285,Can add Búsqueda - Palabra Clave,72,add_busquedapalabraclave
286,Can change Búsqueda - Palabra Clave,72,change_busquedapalabraclave
287,Can delete Búsqueda - Palabra Clave,72,delete_busquedapalabraclave
288,Can view Búsqueda - Palabra Clave,72,view_busquedapalabraclave
289,Can add Propiedad,73,add_propiedad
290,Can change Propiedad,73,change_propiedad
291,Can delete Propiedad,73,delete_propiedad
292,Can view Propiedad,73,view_propiedad
293,Can add Palabra Clave - Propiedad,74,add_palabraclavepropiedad
294,Can change Palabra Clave - Propiedad,74,change_palabraclavepropiedad
295,Can delete Palabra Clave - Propiedad,74,delete_palabraclavepropiedad
296,Can view Palabra Clave - Propiedad,74,view_palabraclavepropiedad
297,Can add Resultado de Búsqueda,75,add_resultadobusqueda
298,Can change Resultado de Búsqueda,75,change_resultadobusqueda
299,Can delete Resultado de Búsqueda,75,delete_resultadobusqueda
300,Can view Resultado de Búsqueda,75,view_resultadobusqueda
