id,app,name,applied
1,contenttypes,0001_initial,2025-09-22 16:31:29.717351+00:00
2,auth,0001_initial,2025-09-22 16:31:30.024633+00:00
3,admin,0001_initial,2025-09-22 16:31:30.102535+00:00
4,admin,0002_logentry_remove_auto_add,2025-09-22 16:31:30.152818+00:00
5,admin,0003_logentry_add_action_flag_choices,2025-09-22 16:31:30.175694+00:00
6,contenttypes,0002_remove_content_type_name,2025-09-22 16:31:30.257635+00:00
7,auth,0002_alter_permission_name_max_length,2025-09-22 16:31:30.306390+00:00
8,auth,0003_alter_user_email_max_length,2025-09-22 16:31:30.374756+00:00
9,auth,0004_alter_user_username_opts,2025-09-22 16:31:30.405429+00:00
10,auth,0005_alter_user_last_login_null,2025-09-22 16:31:30.471011+00:00
11,auth,0006_require_contenttypes_0002,2025-09-22 16:31:30.485563+00:00
12,auth,0007_alter_validators_add_error_messages,2025-09-22 16:31:30.575740+00:00
13,auth,0008_alter_user_username_max_length,2025-09-22 16:31:30.644628+00:00
14,auth,0009_alter_user_last_name_max_length,2025-09-22 16:31:30.694164+00:00
15,auth,0010_alter_group_name_max_length,2025-09-22 16:31:30.748326+00:00
16,auth,0011_update_proxy_permissions,2025-09-22 16:31:30.821660+00:00
17,auth,0012_alter_user_first_name_max_length,2025-09-22 16:31:30.859365+00:00
18,core,0001_initial,2025-09-22 16:31:31.303649+00:00
19,core,0002_propiedad_descripcion_propiedad_metadata_and_more,2025-09-22 16:31:31.375025+00:00
20,core,0003_busqueda_ultima_revision_and_more,2025-09-22 16:31:31.588567+00:00
21,core,0004_palabraclavepropiedad,2025-09-22 16:31:31.695513+00:00
22,sessions,0001_initial,2025-09-22 16:31:31.739449+00:00
