id,url,titulo,created_at,updated_at,plataforma_id,descripcion,metadata
1,https://example.com/prop1,Apartamento 3 dormitorios Pocitos,2025-08-27 17:36:38.933129+00:00,2025-08-27 17:36:38.933129+00:00,1,Hermoso apartamento con vista al mar,"{""baños"": 2, ""garage"": true, ""precio"": 350000, ""dormitorios"": 3}"
2,https://example.com/prop2,Casa en Punta Carretas,2025-08-27 17:36:38.950233+00:00,2025-08-27 17:36:38.950233+00:00,1,Casa con jardín y parrillero,"{""baños"": 3, ""garage"": true, ""jardin"": true, ""precio"": 4500, ""dormitorios"": 4}"
3,https://example.com/prop3,Apartamento en alquiler Centro,2025-08-27 17:36:38.950233+00:00,2025-08-27 17:36:38.950233+00:00,1,Moderno apartamento céntrico,"{""baños"": 1, ""precio"": 25000, ""amueblado"": true, ""dormitorios"": 2}"
5,https://apartamento.mercadolibre.com.uy/MLU-753430228-cordon-pre-venta-apartamento-1-dormitorio-amenities-_JM,Cordon Pre Venta Apartamento 1 Dormitorio Amenities,2025-08-28 16:04:44.671325+00:00,2025-08-28 16:35:59.514211+00:00,1,,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-753430228-cordon-pre-venta-apartamento-1-dormitorio-amenities-_JM"", ""precio"": ""153000 US$"", ""titulo"": ""Cordon Pre Venta Apartamento 1 Dormitorio Amenities""}"
7,https://apartamento.mercadolibre.com.uy/MLU-724229462-venta-apto-1-dorm-cordon-met-tech-_JM,Venta Apto 1 Dorm Cordón - Met Tech,2025-08-28 16:40:44.327204+00:00,2025-08-28 16:41:18.638064+00:00,1,,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-724229462-venta-apto-1-dorm-cordon-met-tech-_JM"", ""precio"": ""134000 US$"", ""titulo"": ""Venta Apto 1 Dorm Cordón - Met Tech""}"
6,https://apartamento.mercadolibre.com.uy/MLU-652589937-venta-de-apartamento-a-estrenar-1-dormitorio-en-cordon-sur-_JM,Venta De Apartamento A Estrenar 1 Dormitorio En Cordón Sur,2025-08-28 16:40:33.735630+00:00,2025-08-28 16:41:18.647403+00:00,1,,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-652589937-venta-de-apartamento-a-estrenar-1-dormitorio-en-cordon-sur-_JM"", ""precio"": ""145711 US$"", ""titulo"": ""Venta De Apartamento A Estrenar 1 Dormitorio En Cordón Sur""}"
16,https://apartamento.mercadolibre.com.uy/MLU-753430228-cordon-venta-apartamento-1-dormitorio-amenities-_JM,Cordon Venta Apartamento 1 Dormitorio Amenities,2025-08-31 23:08:30.514571+00:00,2025-08-31 23:08:33.076795+00:00,1,,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-753430228-cordon-venta-apartamento-1-dormitorio-amenities-_JM"", ""precio"": ""153000 US$"", ""titulo"": ""Cordon Venta Apartamento 1 Dormitorio Amenities""}"
4,https://apartamento.mercadolibre.com.uy/MLU-735850958-apartamentos-en-venta-met-tech-constituyente-y-magallanes-diciembre-2025-_JM,"Apartamentos En Venta Met Tech, Constituyente Y Magallanes, Diciembre 2025",2025-08-28 16:04:42.036770+00:00,2025-09-01 14:27:49.423297+00:00,1,,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-735850958-apartamentos-en-venta-met-tech-constituyente-y-magallanes-diciembre-2025-_JM"", ""precio"": ""Precio no disponible"", ""titulo"": ""Apartamentos En Venta Met Tech, Constituyente Y Magallanes, Diciembre 2025""}"
10,https://apartamento.mercadolibre.com.uy/MLU-748456880-venta-apartamento-1-dormitorio-cordon-met-tech-_JM,Venta Apartamento 1 Dormitorio Cordón - Met Tech,2025-08-28 16:41:05.891363+00:00,2025-08-28 16:41:18.593676+00:00,1,,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-748456880-venta-apartamento-1-dormitorio-cordon-met-tech-_JM"", ""precio"": ""134000 US$"", ""titulo"": ""Venta Apartamento 1 Dormitorio Cordón - Met Tech""}"
9,https://apartamento.mercadolibre.com.uy/MLU-804599194-apartamento-1-dormitorio-con-balcon-edificio-innovador-y-vanguardista-cordon-estrena-diciembre-2025-_JM,Apartamento 1 Dormitorio Con Balcón Edificio Innovador Y Vanguardista. Cordón Estrena Diciembre 2025,2025-08-28 16:41:01.994754+00:00,2025-08-28 16:41:18.616040+00:00,1,,"{""url"": ""https://apartamento.mercadolibre.com.uy/MLU-804599194-apartamento-1-dormitorio-con-balcon-edificio-innovador-y-vanguardista-cordon-estrena-diciembre-2025-_JM"", ""precio"": ""134120 US$"", ""titulo"": ""Apartamento 1 Dormitorio Con Balcón Edificio Innovador Y Vanguardista. Cordón Estrena Diciembre 2025""}"
